epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.393,2.41205,3.10526,1.79913,0.3723,0.17323,0.13482,0.03852,2.44617,2.57171,1.59029,0.0006618,0.0006618,0.0006618
2,138.289,2.22988,2.49453,1.62972,0.50037,0.27559,0.24792,0.08262,2.28878,2.31863,1.48888,0.00130216,0.00130216,0.00130216
3,159.638,2.28315,2.45415,1.62662,0.43896,0.24409,0.21198,0.07547,2.36146,2.33083,1.55709,0.00191613,0.00191613,0.00191613
4,182.91,2.14631,2.52362,1.59072,0.368,0.29345,0.25663,0.076,2.42382,2.2852,1.69883,0.0018812,0.0018812,0.0018812
5,205.555,2.09486,2.31448,1.52989,0.41591,0.3622,0.26936,0.08569,2.13149,2.26115,1.5286,0.0018416,0.0018416,0.0018416
6,226.957,2.06917,2.35815,1.46223,0.47262,0.32283,0.31332,0.10137,1.96822,2.08784,1.39027,0.001802,0.001802,0.001802
7,249.9,2.04554,2.23224,1.5348,0.49263,0.27523,0.27228,0.08698,2.12867,2.11377,1.33228,0.0017624,0.0017624,0.0017624
8,272.074,1.92538,2.24271,1.42153,0.45459,0.38583,0.32301,0.08939,2.07599,2.15026,1.3682,0.0017228,0.0017228,0.0017228
9,294.82,2.02746,2.25605,1.47306,0.51518,0.29921,0.27923,0.09506,1.93541,2.18391,1.40178,0.0016832,0.0016832,0.0016832
10,318.28,1.93651,2.24741,1.43339,0.48374,0.3937,0.31544,0.10634,1.93948,1.8918,1.29438,0.0016436,0.0016436,0.0016436
11,341.794,1.85898,2.1378,1.39516,0.59331,0.39059,0.3483,0.12267,1.85196,1.97201,1.2997,0.001604,0.001604,0.001604
12,364.677,1.88289,2.0538,1.41122,0.58465,0.42119,0.37056,0.13331,1.78128,1.86326,1.28055,0.0015644,0.0015644,0.0015644
13,387.304,1.95338,2.06004,1.40122,0.56355,0.41732,0.30685,0.10324,1.89104,1.92781,1.2904,0.0015248,0.0015248,0.0015248
14,409.557,1.88899,2.04164,1.41021,0.57031,0.43307,0.37584,0.13565,1.80277,1.74874,1.33025,0.0014852,0.0014852,0.0014852
